id;name;category;cost_price;unit_price;pic_filename
1;Granito La La;Adaptativo Mario;3409;26647;Exclusivo
2;Baleares Algodón Ergonómico;Joyería Barbados Moda;4297;4914;Diverso Extremadura Metal
3;Ladrillo intranet amplio;recíproca;594;10547;Arquitecto Grupo Soluciones
4;Violeta local;Pescado;9193;4471;Soluciones Pollo
5;Rústico Papelería Ejecutivo;Morado Virtual Teclado;4981;7036;Papelería
6;Amarillo implementación sinergia;Coordinador Morado Ingeniero;1257;14040;website Aragón
7;Camiseta;Gorro;5858;8564;Malasia
8;Negro;Bebes Ladrillo;4845;6549;compuesto Sabroso Guapo
9;Regional Jefe;Mercados a;9490;21923;Granito
10;La Caridad Productor;Fundamental Compatible;5832;939;Hecho Madera Azul
